#Selection names:,sample_coordinates
#Areas (µm^2): 39281371.78
Selection,X,Y
sample_coordinates,4225.79,244.47
sample_coordinates,4403.42,253.27
sample_coordinates,4817.20,367.39
sample_coordinates,5904.70,689.15
sample_coordinates,6170.44,799.90
sample_coordinates,6537.22,1036.08
sample_coordinates,6752.96,1324.56
sample_coordinates,6841.49,1660.54
sample_coordinates,6841.49,2042.06
sample_coordinates,6850.55,2531.76
sample_coordinates,6874.02,2724.67
sample_coordinates,6874.02,2993.19
sample_coordinates,6861.86,3151.15
sample_coordinates,6873.28,3531.72
sample_coordinates,6873.28,3838.91
sample_coordinates,6873.28,4253.95
sample_coordinates,6895.29,4643.61
sample_coordinates,6917.73,4812.65
sample_coordinates,6917.73,5030.64
sample_coordinates,6888.89,5214.54
sample_coordinates,6856.44,5730.96
sample_coordinates,6743.23,6051.30
sample_coordinates,6589.70,6267.43
sample_coordinates,6349.51,6618.40
sample_coordinates,6098.94,6881.32
sample_coordinates,5949.43,6979.12
sample_coordinates,5337.01,7135.94
sample_coordinates,5175.72,7210.69
sample_coordinates,4801.31,7331.81
sample_coordinates,4284.73,7391.79
sample_coordinates,3520.48,7409.38
sample_coordinates,3333.73,7401.76
sample_coordinates,2854.34,7185.30
sample_coordinates,2150.87,6476.79
sample_coordinates,1911.27,6190.70
sample_coordinates,1692.33,6071.98
sample_coordinates,1557.15,5935.53
sample_coordinates,1452.16,5762.40
sample_coordinates,1197.79,5551.92
sample_coordinates,643.09,5504.06
sample_coordinates,238.11,5504.06
sample_coordinates,116.47,5242.00
sample_coordinates,33.87,5025.27
sample_coordinates,-57.03,4552.66
sample_coordinates,25.09,4214.79
sample_coordinates,64.83,4042.42
sample_coordinates,117.92,3805.78
sample_coordinates,165.88,3615.63
sample_coordinates,402.37,3205.61
sample_coordinates,508.20,2965.96
sample_coordinates,823.16,2592.55
sample_coordinates,1046.46,2309.24
sample_coordinates,1109.28,2127.40
sample_coordinates,1115.45,2124.32
sample_coordinates,1365.31,1326.64
sample_coordinates,1593.18,812.54
sample_coordinates,2012.15,357.60
sample_coordinates,2640.07,158.15
sample_coordinates,3382.82,26.50
sample_coordinates,3654.42,26.50
sample_coordinates,3824.83,78.95
sample_coordinates,3962.07,147.66
sample_coordinates,4263.33,270.52
sample_coordinates,4225.79,244.47
