#Selection names:,sample_coordinates
#Areas (µm^2): 55449951.57
Selection,X,Y
sample_coordinates,1806.64,-133.53
sample_coordinates,2302.96,-239.69
sample_coordinates,3163.71,-299.51
sample_coordinates,4281.91,-64.96
sample_coordinates,4673.01,284.46
sample_coordinates,4821.29,544.96
sample_coordinates,4891.31,755.00
sample_coordinates,5005.40,997.11
sample_coordinates,5097.58,1209.51
sample_coordinates,5205.79,1478.03
sample_coordinates,5318.00,1694.45
sample_coordinates,5533.93,1982.27
sample_coordinates,5672.08,2272.47
sample_coordinates,5784.29,2532.98
sample_coordinates,5940.22,2926.68
sample_coordinates,6050.90,3195.34
sample_coordinates,6221.42,3806.01
sample_coordinates,6499.77,5015.57
sample_coordinates,6577.20,6402.62
sample_coordinates,6376.63,7612.18
sample_coordinates,6322.11,7861.11
sample_coordinates,6207.66,8178.36
sample_coordinates,5883.83,8610.21
sample_coordinates,5693.24,8789.88
sample_coordinates,5490.32,8925.40
sample_coordinates,4872.36,9169.13
sample_coordinates,3704.28,9311.03
sample_coordinates,2910.48,9315.04
sample_coordinates,2618.74,9315.04
sample_coordinates,2259.91,9250.39
sample_coordinates,1862.81,9044.78
sample_coordinates,1166.29,8321.03
sample_coordinates,940.47,8033.38
sample_coordinates,621.28,7370.76
sample_coordinates,403.92,6933.27
sample_coordinates,210.64,6660.56
sample_coordinates,72.36,6442.68
sample_coordinates,-337.21,4831.85
sample_coordinates,-620.69,3659.67
sample_coordinates,-730.41,2649.36
sample_coordinates,-456.20,1152.20
sample_coordinates,-312.49,676.38
sample_coordinates,-201.26,409.78
sample_coordinates,480.01,53.91
sample_coordinates,1027.11,-95.18
sample_coordinates,1422.14,-112.85
sample_coordinates,1783.01,-117.10
sample_coordinates,1806.64,-133.53
