#Selection names:,sample_coordinates
#Areas (µm^2): 39227034.34
Selection,X,Y
sample_coordinates,2980.51,130.49
sample_coordinates,3409.26,124.92
sample_coordinates,5187.49,500.01
sample_coordinates,5506.58,733.22
sample_coordinates,5830.78,996.76
sample_coordinates,6004.06,1160.97
sample_coordinates,6113.64,1332.78
sample_coordinates,6327.79,1705.87
sample_coordinates,6405.80,1911.13
sample_coordinates,6508.11,2314.32
sample_coordinates,6552.98,2572.25
sample_coordinates,6624.14,3063.52
sample_coordinates,6663.27,3378.42
sample_coordinates,6672.06,3751.57
sample_coordinates,6672.06,4186.53
sample_coordinates,6648.66,4860.03
sample_coordinates,6478.14,5298.25
sample_coordinates,6198.59,6044.16
sample_coordinates,5446.51,6809.26
sample_coordinates,4516.83,7115.96
sample_coordinates,3974.15,7213.78
sample_coordinates,3117.23,7272.63
sample_coordinates,2615.04,7288.89
sample_coordinates,2388.99,7297.96
sample_coordinates,1975.42,7166.24
sample_coordinates,1812.31,7028.70
sample_coordinates,1691.46,6738.38
sample_coordinates,1564.95,6574.84
sample_coordinates,1414.13,6374.84
sample_coordinates,1269.10,6192.79
sample_coordinates,1124.08,6013.82
sample_coordinates,1016.08,5871.88
sample_coordinates,864.89,5702.17
sample_coordinates,748.01,5523.77
sample_coordinates,640.02,5354.06
sample_coordinates,544.55,5176.92
sample_coordinates,438.38,5041.34
sample_coordinates,330.38,4890.15
sample_coordinates,237.82,4732.78
sample_coordinates,107.50,4077.13
sample_coordinates,60.57,3762.20
sample_coordinates,-5.28,3395.86
sample_coordinates,-134.42,2718.11
sample_coordinates,38.82,2144.83
sample_coordinates,119.73,1922.88
sample_coordinates,229.25,1637.99
sample_coordinates,337.97,1327.47
sample_coordinates,554.83,877.26
sample_coordinates,941.14,611.42
sample_coordinates,1217.41,535.74
sample_coordinates,1470.35,480.53
sample_coordinates,2202.65,351.32
sample_coordinates,2401.81,294.57
sample_coordinates,2674.71,217.58
sample_coordinates,2986.36,121.92
sample_coordinates,2980.51,130.49
