#Selection names:,sample_coordinates
#Areas (µm^2): 55600337.38
Selection,X,Y
sample_coordinates,3448.95,218.93
sample_coordinates,3837.88,200.38
sample_coordinates,4210.23,284.61
sample_coordinates,4474.27,339.36
sample_coordinates,4710.01,420.21
sample_coordinates,4958.55,558.95
sample_coordinates,5104.50,647.20
sample_coordinates,5297.35,759.00
sample_coordinates,5523.52,889.15
sample_coordinates,5829.28,1080.96
sample_coordinates,5993.47,1170.64
sample_coordinates,6242.13,1318.31
sample_coordinates,6497.74,1506.67
sample_coordinates,6730.29,1715.66
sample_coordinates,7051.42,1996.89
sample_coordinates,7321.43,2255.12
sample_coordinates,7324.82,2255.12
sample_coordinates,7670.02,2552.70
sample_coordinates,7921.99,2888.19
sample_coordinates,8078.89,3151.08
sample_coordinates,8255.52,3445.28
sample_coordinates,8392.72,3744.34
sample_coordinates,8502.76,3991.38
sample_coordinates,8590.84,4268.31
sample_coordinates,8763.73,4803.84
sample_coordinates,8767.12,5215.33
sample_coordinates,8758.23,5614.57
sample_coordinates,8766.15,5905.07
sample_coordinates,8754.37,6187.12
sample_coordinates,8577.55,6678.89
sample_coordinates,8424.02,7023.93
sample_coordinates,7930.92,7615.23
sample_coordinates,7673.18,7810.85
sample_coordinates,7201.32,7932.86
sample_coordinates,6830.71,8017.45
sample_coordinates,5694.64,8107.43
sample_coordinates,5056.12,8117.11
sample_coordinates,4842.10,8126.78
sample_coordinates,4173.66,8114.18
sample_coordinates,3520.18,8022.42
sample_coordinates,2783.19,7786.72
sample_coordinates,2319.51,7599.74
sample_coordinates,1880.82,7396.66
sample_coordinates,1265.12,7124.58
sample_coordinates,817.42,6809.40
sample_coordinates,661.01,6670.41
sample_coordinates,517.70,6513.72
sample_coordinates,271.63,6270.85
sample_coordinates,-160.28,5803.15
sample_coordinates,-408.89,4851.95
sample_coordinates,-437.32,4213.44
sample_coordinates,-437.32,3179.31
sample_coordinates,-338.95,2852.71
sample_coordinates,-38.18,2553.83
sample_coordinates,376.06,2166.39
sample_coordinates,932.81,1638.66
sample_coordinates,1626.96,1148.82
sample_coordinates,2119.10,897.87
sample_coordinates,2469.88,755.26
sample_coordinates,2617.37,668.05
sample_coordinates,2777.82,562.47
sample_coordinates,3062.46,405.57
sample_coordinates,3494.32,211.81
sample_coordinates,3448.95,218.93
