#Selection names:,"sample_coordinates, thrombus_coordinates"
"#Areas (µm^2): 43511482.82, 1782660.92"
Selection,X,Y
sample_coordinates,4713.93,478.36
sample_coordinates,5412.31,226.31
sample_coordinates,7002.46,190.54
sample_coordinates,7386.45,206.22
sample_coordinates,7648.17,322.33
sample_coordinates,8108.05,722.41
sample_coordinates,8329.81,1279.26
sample_coordinates,8420.80,1569.69
sample_coordinates,8490.52,1913.58
sample_coordinates,8517.82,2394.30
sample_coordinates,8517.82,2731.99
sample_coordinates,8499.93,3695.99
sample_coordinates,8266.59,4294.75
sample_coordinates,7880.68,4729.85
sample_coordinates,7685.70,5043.31
sample_coordinates,7272.79,5386.29
sample_coordinates,6288.90,5810.10
sample_coordinates,4688.48,6087.60
sample_coordinates,3178.25,5850.80
sample_coordinates,1871.57,5522.84
sample_coordinates,868.27,5162.64
sample_coordinates,71.11,4732.10
sample_coordinates,-495.85,3440.88
sample_coordinates,-528.77,2944.02
sample_coordinates,-408.16,2475.12
sample_coordinates,-302.02,2165.39
sample_coordinates,109.28,1464.32
sample_coordinates,373.23,1025.61
sample_coordinates,796.90,882.68
sample_coordinates,1751.50,619.75
sample_coordinates,2338.56,451.81
sample_coordinates,2646.36,366.70
sample_coordinates,3171.45,361.99
sample_coordinates,3892.12,401.83
sample_coordinates,4218.53,408.74
sample_coordinates,4440.74,455.51
sample_coordinates,4699.52,469.62
sample_coordinates,4713.93,478.36
thrombus_coordinates,5515.91,3148.40
thrombus_coordinates,5710.41,3027.88
thrombus_coordinates,5904.76,2911.95
thrombus_coordinates,6190.07,2845.98
thrombus_coordinates,6360.09,2815.71
thrombus_coordinates,6531.07,2815.71
thrombus_coordinates,6717.98,2890.72
thrombus_coordinates,6874.82,3027.10
thrombus_coordinates,6885.05,3248.73
thrombus_coordinates,6834.32,3461.67
thrombus_coordinates,6759.31,3635.56
thrombus_coordinates,6595.65,3806.04
thrombus_coordinates,6208.58,3900.62
thrombus_coordinates,5955.50,3973.62
thrombus_coordinates,5727.67,4021.14
thrombus_coordinates,5467.77,4024.55
thrombus_coordinates,5246.14,4089.34
thrombus_coordinates,4944.20,4106.38
thrombus_coordinates,4712.81,4067.48
thrombus_coordinates,4709.41,4067.48
thrombus_coordinates,4469.96,3997.90
thrombus_coordinates,4296.07,3922.89
thrombus_coordinates,4272.20,3742.18
thrombus_coordinates,4452.91,3667.17
thrombus_coordinates,4654.08,3646.71
thrombus_coordinates,4822.54,3629.66
thrombus_coordinates,5044.17,3629.66
thrombus_coordinates,5222.86,3629.66
thrombus_coordinates,5406.98,3595.57
thrombus_coordinates,5584.28,3541.02
thrombus_coordinates,5628.60,3319.39
thrombus_coordinates,5533.13,3162.55
thrombus_coordinates,5515.91,3148.40
