#Selection names:,sample_coordinates
#Areas (µm^2): 50131065.40
Selection,X,Y
sample_coordinates,4085.28,514.38
sample_coordinates,4300.02,545.49
sample_coordinates,4784.07,629.61
sample_coordinates,4986.88,725.57
sample_coordinates,5171.85,858.76
sample_coordinates,5390.97,987.79
sample_coordinates,5673.81,1188.40
sample_coordinates,5942.69,1366.14
sample_coordinates,6079.58,1517.82
sample_coordinates,6251.04,1672.75
sample_coordinates,6409.21,1829.18
sample_coordinates,6923.96,2165.24
sample_coordinates,7163.75,2471.39
sample_coordinates,7361.49,2745.47
sample_coordinates,7528.81,3041.61
sample_coordinates,7657.39,3362.29
sample_coordinates,7816.62,3731.89
sample_coordinates,7886.18,4069.94
sample_coordinates,7943.41,4293.43
sample_coordinates,8026.87,4510.90
sample_coordinates,8092.06,4711.39
sample_coordinates,8156.23,4977.21
sample_coordinates,8214.75,5191.28
sample_coordinates,8298.64,5437.76
sample_coordinates,8294.94,6036.24
sample_coordinates,8294.94,6276.75
sample_coordinates,8230.05,6861.61
sample_coordinates,8187.84,7078.41
sample_coordinates,8088.13,7301.10
sample_coordinates,7872.13,7486.22
sample_coordinates,7628.53,7651.95
sample_coordinates,7215.14,8011.60
sample_coordinates,6587.10,8267.73
sample_coordinates,6100.28,8367.77
sample_coordinates,5524.83,8454.07
sample_coordinates,4942.82,8479.54
sample_coordinates,4335.59,8475.84
sample_coordinates,3731.85,8311.75
sample_coordinates,3174.34,7964.29
sample_coordinates,2814.00,7728.06
sample_coordinates,2498.34,7511.83
sample_coordinates,2097.49,7121.20
sample_coordinates,1803.94,6800.79
sample_coordinates,1545.07,6538.22
sample_coordinates,1227.46,6249.07
sample_coordinates,948.21,6048.98
sample_coordinates,660.21,5883.66
sample_coordinates,212.26,5757.90
sample_coordinates,-1.68,5633.74
sample_coordinates,-1.68,5622.64
sample_coordinates,-80.36,5417.15
sample_coordinates,-183.82,5167.73
sample_coordinates,-194.68,4522.20
sample_coordinates,-52.51,3516.76
sample_coordinates,65.72,2762.39
sample_coordinates,176.36,2338.41
sample_coordinates,457.50,2084.39
sample_coordinates,1157.29,1658.12
sample_coordinates,1502.16,1400.81
sample_coordinates,1786.03,1144.13
sample_coordinates,2232.29,987.41
sample_coordinates,2845.49,799.44
sample_coordinates,3234.83,700.96
sample_coordinates,3480.84,648.10
sample_coordinates,3762.76,581.25
sample_coordinates,4055.03,499.86
sample_coordinates,4085.28,514.38
