#Selection names:,"sample_coordinates, thrombus_coordinates"
"#Areas (µm^2): 49646005.24, 2063921.67"
Selection,X,Y
sample_coordinates,3876.97,570.24
sample_coordinates,4591.16,394.78
sample_coordinates,5437.19,482.02
sample_coordinates,6191.47,647.33
sample_coordinates,6387.22,762.75
sample_coordinates,6818.00,1060.16
sample_coordinates,7291.53,1476.81
sample_coordinates,7602.70,2248.60
sample_coordinates,7706.16,2643.41
sample_coordinates,7766.60,2910.01
sample_coordinates,7801.91,3084.56
sample_coordinates,7863.16,3409.41
sample_coordinates,7976.29,3660.59
sample_coordinates,8089.78,3874.00
sample_coordinates,8230.84,4178.68
sample_coordinates,8154.11,4627.97
sample_coordinates,7861.38,5442.82
sample_coordinates,7805.41,5955.98
sample_coordinates,7766.05,6133.11
sample_coordinates,7766.05,6139.89
sample_coordinates,7663.57,6520.02
sample_coordinates,7427.96,6735.89
sample_coordinates,7025.42,6999.79
sample_coordinates,6552.69,7256.27
sample_coordinates,6099.86,7432.71
sample_coordinates,5771.03,7600.89
sample_coordinates,5533.65,7679.44
sample_coordinates,5339.64,7749.39
sample_coordinates,5101.40,7829.00
sample_coordinates,4865.56,7852.08
sample_coordinates,4595.68,7852.08
sample_coordinates,4155.61,7932.57
sample_coordinates,3957.35,7903.85
sample_coordinates,3953.96,7903.85
sample_coordinates,3766.92,7827.27
sample_coordinates,3508.45,7669.53
sample_coordinates,3357.81,7523.87
sample_coordinates,3217.54,7370.03
sample_coordinates,3005.06,7202.63
sample_coordinates,2799.36,7072.54
sample_coordinates,2540.28,6950.11
sample_coordinates,2359.09,6856.93
sample_coordinates,2121.28,6700.52
sample_coordinates,2002.55,6537.69
sample_coordinates,1856.68,6395.22
sample_coordinates,1656.54,6225.60
sample_coordinates,1510.67,6093.30
sample_coordinates,1337.66,5961.00
sample_coordinates,1157.87,5828.70
sample_coordinates,975.30,5659.29
sample_coordinates,619.82,5359.27
sample_coordinates,433.33,5094.40
sample_coordinates,50.58,4692.31
sample_coordinates,-77.48,4502.22
sample_coordinates,-353.90,3470.11
sample_coordinates,-366.75,2427.86
sample_coordinates,151.50,1078.87
sample_coordinates,316.46,848.29
sample_coordinates,1237.36,640.71
sample_coordinates,3391.03,392.70
sample_coordinates,4099.72,376.88
sample_coordinates,3896.18,577.02
sample_coordinates,3876.97,570.24
thrombus_coordinates,5295.17,3501.94
thrombus_coordinates,5554.75,3579.80
thrombus_coordinates,5775.25,3695.14
thrombus_coordinates,5949.53,3771.87
thrombus_coordinates,6166.79,3903.35
thrombus_coordinates,6339.94,4029.62
thrombus_coordinates,6465.81,4147.31
thrombus_coordinates,6682.74,4378.27
thrombus_coordinates,6751.36,4587.98
thrombus_coordinates,6649.59,4808.48
thrombus_coordinates,6456.23,4967.91
thrombus_coordinates,6266.26,5086.64
thrombus_coordinates,6106.82,5208.77
thrombus_coordinates,5940.60,5286.79
thrombus_coordinates,5710.54,5317.32
thrombus_coordinates,5517.18,5259.65
thrombus_coordinates,5486.65,5032.37
thrombus_coordinates,5473.08,4832.22
thrombus_coordinates,5398.45,4652.43
thrombus_coordinates,5276.33,4499.78
thrombus_coordinates,5116.89,4350.52
thrombus_coordinates,4991.38,4187.69
thrombus_coordinates,4889.61,3990.94
thrombus_coordinates,4810.20,3674.80
thrombus_coordinates,4935.71,3501.79
thrombus_coordinates,5288.51,3501.79
thrombus_coordinates,5295.17,3501.94
