#Selection names:,sample_coordinates
#Areas (µm^2): 42594990.36
Selection,X,Y
sample_coordinates,2936.28,430.31
sample_coordinates,3619.46,472.27
sample_coordinates,3993.24,623.78
sample_coordinates,4228.92,761.88
sample_coordinates,4427.13,875.45
sample_coordinates,4590.01,1014.58
sample_coordinates,4712.17,1160.50
sample_coordinates,4861.28,1372.28
sample_coordinates,5026.93,1492.64
sample_coordinates,5208.17,1633.36
sample_coordinates,5357.48,1748.73
sample_coordinates,5582.83,1897.84
sample_coordinates,5736.81,2002.66
sample_coordinates,5913.20,2155.72
sample_coordinates,6125.50,2384.78
sample_coordinates,6383.10,2715.86
sample_coordinates,6488.66,2881.67
sample_coordinates,6574.72,3102.28
sample_coordinates,6714.38,3414.19
sample_coordinates,6804.72,3857.95
sample_coordinates,6831.19,4054.04
sample_coordinates,6839.11,4301.17
sample_coordinates,6822.14,4540.87
sample_coordinates,6710.77,4845.81
sample_coordinates,6633.56,5104.59
sample_coordinates,6525.39,5357.86
sample_coordinates,6360.76,5726.82
sample_coordinates,6256.66,5949.77
sample_coordinates,6015.87,6404.21
sample_coordinates,5935.46,6563.23
sample_coordinates,5772.86,6863.50
sample_coordinates,5643.55,7054.46
sample_coordinates,5415.58,7211.84
sample_coordinates,4960.44,7414.23
sample_coordinates,4164.57,7745.44
sample_coordinates,3829.08,7819.95
sample_coordinates,3193.32,7823.34
sample_coordinates,2921.24,7823.34
sample_coordinates,2655.67,7823.34
sample_coordinates,2057.63,7717.50
sample_coordinates,1709.27,7571.52
sample_coordinates,1489.97,7479.86
sample_coordinates,1118.37,7245.80
sample_coordinates,770.03,6940.01
sample_coordinates,199.10,6303.13
sample_coordinates,-16.04,5586.47
sample_coordinates,-96.36,5189.87
sample_coordinates,-370.36,4269.37
sample_coordinates,-548.21,3318.95
sample_coordinates,-460.58,2485.41
sample_coordinates,-272.99,1880.42
sample_coordinates,114.52,1211.21
sample_coordinates,303.39,1031.12
sample_coordinates,1022.61,749.47
sample_coordinates,1686.21,536.80
sample_coordinates,2089.45,450.14
sample_coordinates,2361.61,432.05
sample_coordinates,2569.34,404.45
sample_coordinates,2943.38,436.58
sample_coordinates,2936.28,430.31
