#Selection names:,sample_coordinates
#Areas (µm^2): 57228200.06
Selection,X,Y
sample_coordinates,2015.25,-35.01
sample_coordinates,2424.87,-35.01
sample_coordinates,2897.53,-52.86
sample_coordinates,3372.96,-52.86
sample_coordinates,3654.05,29.78
sample_coordinates,3947.20,74.03
sample_coordinates,4186.30,211.97
sample_coordinates,4498.31,424.75
sample_coordinates,4725.09,706.84
sample_coordinates,4896.56,944.68
sample_coordinates,5045.90,1182.52
sample_coordinates,5283.74,1459.08
sample_coordinates,5416.48,1746.70
sample_coordinates,5604.54,2045.38
sample_coordinates,5776.01,2310.88
sample_coordinates,5908.76,2570.85
sample_coordinates,5908.76,2576.38
sample_coordinates,6303.93,3031.72
sample_coordinates,6411.28,3495.15
sample_coordinates,6516.43,4075.85
sample_coordinates,6640.73,4722.75
sample_coordinates,6729.89,5188.50
sample_coordinates,6632.87,5851.04
sample_coordinates,6553.84,6221.12
sample_coordinates,6507.00,6597.49
sample_coordinates,6394.46,7249.16
sample_coordinates,6218.47,7718.56
sample_coordinates,6062.01,8086.13
sample_coordinates,5908.90,8469.85
sample_coordinates,5669.13,8753.87
sample_coordinates,5404.64,9046.36
sample_coordinates,4969.38,9264.37
sample_coordinates,3721.40,9326.05
sample_coordinates,3371.43,9342.64
sample_coordinates,3049.87,9337.11
sample_coordinates,2631.08,9162.16
sample_coordinates,2198.64,8938.94
sample_coordinates,1772.75,8673.95
sample_coordinates,1241.53,8289.98
sample_coordinates,638.76,7806.67
sample_coordinates,-42.64,6930.47
sample_coordinates,-367.48,6353.50
sample_coordinates,-529.58,6022.44
sample_coordinates,-731.18,4848.63
sample_coordinates,-1046.38,3451.43
sample_coordinates,-1060.04,2713.34
sample_coordinates,-1039.01,2248.85
sample_coordinates,-890.47,1584.79
sample_coordinates,-387.36,806.48
sample_coordinates,-72.30,524.69
sample_coordinates,446.62,317.96
sample_coordinates,1047.57,130.60
sample_coordinates,1445.12,23.33
sample_coordinates,1929.85,17.80
sample_coordinates,2015.25,-35.01
