#Selection names:,"sample_coordinates, thrombus_coordinates"
"#Areas (µm^2): 48692915.88, 1688461.96"
Selection,X,Y
sample_coordinates,4831.39,574.89
sample_coordinates,5105.37,495.63
sample_coordinates,5364.08,514.00
sample_coordinates,5661.53,549.34
sample_coordinates,5863.41,564.52
sample_coordinates,6116.22,616.63
sample_coordinates,6322.26,668.54
sample_coordinates,6499.59,758.21
sample_coordinates,6695.30,861.46
sample_coordinates,6862.68,950.25
sample_coordinates,7110.84,1111.36
sample_coordinates,7282.29,1246.80
sample_coordinates,7468.88,1370.94
sample_coordinates,7662.16,1604.35
sample_coordinates,7856.47,1867.34
sample_coordinates,8031.59,2067.82
sample_coordinates,8079.17,2337.84
sample_coordinates,8526.10,2767.52
sample_coordinates,8639.06,2904.97
sample_coordinates,8674.60,3227.85
sample_coordinates,8731.91,3492.23
sample_coordinates,8740.30,3881.66
sample_coordinates,8736.91,4091.18
sample_coordinates,8666.42,4428.14
sample_coordinates,8575.12,4712.23
sample_coordinates,8426.38,5478.96
sample_coordinates,8320.83,5744.69
sample_coordinates,8247.63,5950.46
sample_coordinates,8082.31,6413.98
sample_coordinates,7777.18,6690.59
sample_coordinates,7599.70,6814.78
sample_coordinates,7448.35,7028.01
sample_coordinates,7026.21,7358.35
sample_coordinates,6608.83,7565.54
sample_coordinates,6187.76,7908.14
sample_coordinates,6028.96,8048.58
sample_coordinates,5449.88,8196.61
sample_coordinates,4738.71,8229.99
sample_coordinates,4444.89,8152.79
sample_coordinates,4441.50,8149.40
sample_coordinates,4407.63,7958.41
sample_coordinates,4128.70,7894.31
sample_coordinates,3903.09,7889.32
sample_coordinates,3704.61,7788.07
sample_coordinates,3533.45,7601.53
sample_coordinates,3377.26,7475.90
sample_coordinates,3208.10,7353.86
sample_coordinates,3085.87,7187.49
sample_coordinates,2869.02,7074.46
sample_coordinates,2704.65,6899.70
sample_coordinates,2551.85,6777.46
sample_coordinates,2394.28,6635.06
sample_coordinates,2292.41,6482.26
sample_coordinates,2151.81,6356.63
sample_coordinates,2148.41,6356.63
sample_coordinates,1999.01,6241.19
sample_coordinates,1797.29,6054.64
sample_coordinates,1671.66,5905.24
sample_coordinates,1535.84,5738.86
sample_coordinates,1351.10,5518.77
sample_coordinates,1161.43,5303.95
sample_coordinates,988.75,5074.58
sample_coordinates,762.17,4735.61
sample_coordinates,521.01,4306.98
sample_coordinates,343.25,3706.84
sample_coordinates,310.70,3084.77
sample_coordinates,357.05,2646.49
sample_coordinates,442.75,2326.55
sample_coordinates,396.30,2074.63
sample_coordinates,1125.92,1579.55
sample_coordinates,1697.35,1228.47
sample_coordinates,1847.11,969.29
sample_coordinates,1896.24,796.74
sample_coordinates,2095.33,714.06
sample_coordinates,2284.75,673.73
sample_coordinates,2629.57,665.34
sample_coordinates,2865.29,651.97
sample_coordinates,3471.22,638.39
sample_coordinates,3749.57,648.37
sample_coordinates,4040.49,645.18
sample_coordinates,4251.01,567.08
sample_coordinates,4460.92,526.34
sample_coordinates,4831.02,570.48
sample_coordinates,4831.39,574.89
thrombus_coordinates,5677.38,3883.74
thrombus_coordinates,5940.99,3980.20
thrombus_coordinates,5944.38,3983.60
thrombus_coordinates,6188.12,4062.20
thrombus_coordinates,6399.41,4158.66
thrombus_coordinates,6619.50,4250.13
thrombus_coordinates,6827.36,4394.19
thrombus_coordinates,6990.34,4540.19
thrombus_coordinates,7066.63,4694.38
thrombus_coordinates,7097.19,4894.71
thrombus_coordinates,7025.89,5074.67
thrombus_coordinates,6849.32,5169.74
thrombus_coordinates,6638.80,5271.61
thrombus_coordinates,6465.64,5390.45
thrombus_coordinates,6280.89,5480.32
thrombus_coordinates,6077.78,5493.90
thrombus_coordinates,5955.54,5310.55
thrombus_coordinates,5928.38,5120.40
thrombus_coordinates,5870.66,4913.28
thrombus_coordinates,5728.05,4750.30
thrombus_coordinates,5609.21,4570.34
thrombus_coordinates,5470.00,4386.99
thrombus_coordinates,5378.32,4210.42
thrombus_coordinates,5290.04,4023.67
thrombus_coordinates,5290.04,3840.32
thrombus_coordinates,5495.15,3774.01
thrombus_coordinates,5701.66,3892.85
thrombus_coordinates,5677.38,3883.74
