#Selection names:,"sample_coordinates, thrombus_coordinates"
"#Areas (µm^2): 23619362.72, 2492407.22"
Selection,X,Y
sample_coordinates,2421.65,495.29
sample_coordinates,2920.98,513.55
sample_coordinates,3354.98,592.93
sample_coordinates,3610.79,652.86
sample_coordinates,3804.51,728.89
sample_coordinates,4010.52,878.40
sample_coordinates,4219.51,950.99
sample_coordinates,4443.12,1076.43
sample_coordinates,4636.01,1169.23
sample_coordinates,4895.47,1334.62
sample_coordinates,5238.79,1576.07
sample_coordinates,5380.76,1754.35
sample_coordinates,5664.66,2339.47
sample_coordinates,5723.35,2738.99
sample_coordinates,5784.39,3638.30
sample_coordinates,5688.62,3956.02
sample_coordinates,5537.40,4185.43
sample_coordinates,5215.05,4482.47
sample_coordinates,4995.89,4751.09
sample_coordinates,4662.56,4934.52
sample_coordinates,4397.96,5083.36
sample_coordinates,4041.51,5244.38
sample_coordinates,3342.11,5374.04
sample_coordinates,2866.98,5382.55
sample_coordinates,2434.89,5382.55
sample_coordinates,2231.17,5382.55
sample_coordinates,1798.70,5289.16
sample_coordinates,1416.23,5164.39
sample_coordinates,1060.33,5029.53
sample_coordinates,807.70,4868.65
sample_coordinates,573.14,4673.60
sample_coordinates,326.80,4526.69
sample_coordinates,159.03,4293.62
sample_coordinates,4.01,3990.88
sample_coordinates,-170.73,3601.41
sample_coordinates,-195.85,3242.89
sample_coordinates,-195.85,2839.43
sample_coordinates,-106.24,2314.13
sample_coordinates,-46.55,2036.29
sample_coordinates,36.05,1682.63
sample_coordinates,129.61,1439.98
sample_coordinates,336.63,1229.30
sample_coordinates,518.54,1074.45
sample_coordinates,696.99,985.98
sample_coordinates,1022.05,796.41
sample_coordinates,1365.01,626.32
sample_coordinates,1739.29,531.54
sample_coordinates,1976.84,502.55
sample_coordinates,2190.98,489.87
sample_coordinates,2424.71,500.83
sample_coordinates,2421.65,495.29
thrombus_coordinates,1760.20,1609.82
thrombus_coordinates,1834.16,1591.10
thrombus_coordinates,1980.61,1571.19
thrombus_coordinates,2090.21,1541.52
thrombus_coordinates,2180.29,1513.07
thrombus_coordinates,2266.77,1490.18
thrombus_coordinates,2344.35,1484.62
thrombus_coordinates,2416.11,1512.25
thrombus_coordinates,2507.08,1563.42
thrombus_coordinates,2571.32,1597.99
thrombus_coordinates,2611.63,1663.31
thrombus_coordinates,2653.32,1743.92
thrombus_coordinates,2704.19,1845.00
thrombus_coordinates,2711.13,1928.39
thrombus_coordinates,2729.20,2034.01
thrombus_coordinates,2736.80,2112.41
thrombus_coordinates,2691.02,2195.54
thrombus_coordinates,2645.25,2275.90
thrombus_coordinates,2569.15,2389.92
thrombus_coordinates,2514.95,2474.69
thrombus_coordinates,2390.57,2576.00
thrombus_coordinates,2351.66,2663.55
thrombus_coordinates,2282.17,2710.80
thrombus_coordinates,2189.05,2748.33
thrombus_coordinates,2134.85,2802.53
thrombus_coordinates,2084.82,2863.68
thrombus_coordinates,2077.87,2937.34
thrombus_coordinates,2130.68,3016.55
thrombus_coordinates,2188.80,3064.37
thrombus_coordinates,2245.78,3131.08
thrombus_coordinates,2296.46,3210.86
thrombus_coordinates,2360.71,3246.18
thrombus_coordinates,2437.46,3237.67
thrombus_coordinates,2512.51,3264.07
thrombus_coordinates,2543.08,3332.17
thrombus_coordinates,2600.63,3384.25
thrombus_coordinates,2600.63,3387.03
thrombus_coordinates,2617.31,3460.68
thrombus_coordinates,2620.09,3545.46
thrombus_coordinates,2599.24,3624.68
thrombus_coordinates,2556.16,3688.61
thrombus_coordinates,2446.62,3761.53
thrombus_coordinates,2384.08,3808.78
thrombus_coordinates,2294.56,3860.85
thrombus_coordinates,2168.16,3902.46
thrombus_coordinates,2053.66,3920.52
thrombus_coordinates,2006.41,3988.62
thrombus_coordinates,1921.79,3994.18
thrombus_coordinates,1824.95,3982.49
thrombus_coordinates,1754.33,3939.49
thrombus_coordinates,1691.87,3844.42
thrombus_coordinates,1622.89,3798.16
thrombus_coordinates,1534.02,3720.83
thrombus_coordinates,1491.27,3637.38
thrombus_coordinates,1438.46,3567.89
thrombus_coordinates,1380.77,3462.71
thrombus_coordinates,1322.73,3326.96
thrombus_coordinates,1302.06,3218.86
thrombus_coordinates,1306.14,3144.82
thrombus_coordinates,1294.45,3022.14
thrombus_coordinates,1300.67,2940.97
thrombus_coordinates,1406.67,2876.81
thrombus_coordinates,1472.56,2808.79
thrombus_coordinates,1617.31,2724.97
thrombus_coordinates,1681.30,2691.21
thrombus_coordinates,1748.01,2635.62
thrombus_coordinates,1839.74,2581.42
thrombus_coordinates,1903.67,2536.95
thrombus_coordinates,1923.12,2453.56
thrombus_coordinates,1881.43,2366.01
thrombus_coordinates,1765.76,2338.95
thrombus_coordinates,1661.78,2343.86
thrombus_coordinates,1570.06,2377.21
thrombus_coordinates,1476.94,2416.12
thrombus_coordinates,1355.97,2457.00
thrombus_coordinates,1282.31,2476.45
thrombus_coordinates,1219.77,2413.91
thrombus_coordinates,1175.30,2340.25
thrombus_coordinates,1129.80,2207.96
thrombus_coordinates,1135.36,2110.67
thrombus_coordinates,1152.69,2030.89
thrombus_coordinates,1171.41,1960.83
thrombus_coordinates,1197.07,1892.98
thrombus_coordinates,1252.67,1845.73
thrombus_coordinates,1328.28,1808.95
thrombus_coordinates,1415.59,1764.56
thrombus_coordinates,1488.42,1727.77
thrombus_coordinates,1623.67,1680.29
thrombus_coordinates,1755.70,1616.36
thrombus_coordinates,1760.20,1609.82
