#Selection names:,"sample_coordinates, thrombus_coordinates"
"#Areas (µm^2): 67129622.83, 2485020.50"
Selection,X,Y
sample_coordinates,5212.90,173.45
sample_coordinates,5567.28,208.36
sample_coordinates,5885.96,271.22
sample_coordinates,6207.41,333.82
sample_coordinates,6497.14,423.12
sample_coordinates,6926.87,674.04
sample_coordinates,7486.75,894.93
sample_coordinates,7843.05,1106.56
sample_coordinates,8226.93,1319.66
sample_coordinates,8593.74,1570.12
sample_coordinates,8781.96,1701.90
sample_coordinates,8899.90,1958.32
sample_coordinates,9177.69,2369.83
sample_coordinates,9249.28,2687.71
sample_coordinates,9338.58,2955.63
sample_coordinates,9440.18,3275.30
sample_coordinates,9481.23,3508.16
sample_coordinates,9397.26,4466.73
sample_coordinates,9075.84,5416.28
sample_coordinates,9035.40,5668.82
sample_coordinates,8924.50,6033.86
sample_coordinates,8656.24,6474.20
sample_coordinates,7902.67,7208.91
sample_coordinates,7160.89,7587.69
sample_coordinates,5638.40,8059.88
sample_coordinates,4581.51,8087.83
sample_coordinates,3573.64,8483.26
sample_coordinates,2902.52,8602.84
sample_coordinates,2633.42,8566.15
sample_coordinates,2328.23,8510.31
sample_coordinates,2323.87,8510.31
sample_coordinates,1954.96,8510.31
sample_coordinates,1647.72,8403.82
sample_coordinates,1340.14,8094.19
sample_coordinates,1189.10,7845.93
sample_coordinates,1050.76,7380.05
sample_coordinates,895.82,7132.50
sample_coordinates,611.12,6714.42
sample_coordinates,322.01,6201.06
sample_coordinates,275.75,5860.96
sample_coordinates,-32.02,5266.54
sample_coordinates,-281.86,4550.90
sample_coordinates,-463.06,4072.73
sample_coordinates,-589.16,3582.27
sample_coordinates,-567.62,3354.56
sample_coordinates,-567.62,3350.20
sample_coordinates,-508.92,2983.18
sample_coordinates,-450.68,2642.84
sample_coordinates,-285.96,2255.14
sample_coordinates,-162.28,1945.19
sample_coordinates,-65.57,1717.14
sample_coordinates,42.17,1355.43
sample_coordinates,289.78,1036.49
sample_coordinates,690.15,792.69
sample_coordinates,902.06,574.36
sample_coordinates,1316.76,345.59
sample_coordinates,2116.04,204.27
sample_coordinates,2367.69,148.35
sample_coordinates,2672.49,90.11
sample_coordinates,3254.86,189.25
sample_coordinates,3649.74,172.66
sample_coordinates,4350.61,88.00
sample_coordinates,4649.71,60.37
sample_coordinates,4869.63,77.82
sample_coordinates,5244.04,186.89
sample_coordinates,5212.90,173.45
thrombus_coordinates,4823.26,4164.94
thrombus_coordinates,4831.84,4157.27
thrombus_coordinates,5084.88,4205.26
thrombus_coordinates,5307.38,4318.69
thrombus_coordinates,5446.99,4571.73
thrombus_coordinates,5451.35,4816.05
thrombus_coordinates,5512.43,5121.44
thrombus_coordinates,5525.52,5376.27
thrombus_coordinates,5499.34,5686.03
thrombus_coordinates,5377.19,5895.44
thrombus_coordinates,5115.42,6000.15
thrombus_coordinates,4899.86,5976.29
thrombus_coordinates,4644.04,5926.25
thrombus_coordinates,4322.59,5762.05
thrombus_coordinates,4151.18,5558.59
thrombus_coordinates,4007.21,5353.53
thrombus_coordinates,3837.86,5062.81
thrombus_coordinates,3807.32,4835.95
thrombus_coordinates,3903.30,4546.22
thrombus_coordinates,4028.50,4347.91
thrombus_coordinates,4239.70,4219.34
thrombus_coordinates,4510.39,4164.94
thrombus_coordinates,4823.26,4164.94
