#Selection names:,"sample_coordinates, thrombus_coordinates"
"#Areas (µm^2): 23578280.00, 2361526.52"
Selection,X,Y
sample_coordinates,2216.61,289.47
sample_coordinates,2917.42,266.53
sample_coordinates,3922.89,434.90
sample_coordinates,4898.70,860.89
sample_coordinates,5080.71,1045.14
sample_coordinates,5157.01,1149.20
sample_coordinates,5260.30,1260.33
sample_coordinates,5369.99,1462.20
sample_coordinates,5473.87,1616.23
sample_coordinates,5579.44,1849.70
sample_coordinates,5579.44,1861.41
sample_coordinates,5621.54,2403.03
sample_coordinates,5650.35,2588.53
sample_coordinates,5710.29,3273.14
sample_coordinates,5610.20,3902.24
sample_coordinates,5520.11,4184.18
sample_coordinates,5438.31,4315.44
sample_coordinates,5133.47,4675.95
sample_coordinates,4818.58,4941.07
sample_coordinates,4674.88,5024.19
sample_coordinates,3785.48,5252.29
sample_coordinates,3240.53,5332.17
sample_coordinates,2755.11,5332.17
sample_coordinates,2095.13,5266.33
sample_coordinates,1568.18,5168.92
sample_coordinates,1197.66,5071.80
sample_coordinates,756.18,4771.96
sample_coordinates,402.06,4245.82
sample_coordinates,243.44,3964.06
sample_coordinates,174.50,3805.37
sample_coordinates,109.03,3549.11
sample_coordinates,45.60,3178.02
sample_coordinates,28.40,3060.46
sample_coordinates,76.28,2901.65
sample_coordinates,181.27,2569.87
sample_coordinates,216.18,2219.88
sample_coordinates,255.50,2079.94
sample_coordinates,353.28,1703.41
sample_coordinates,485.01,1276.82
sample_coordinates,733.51,953.09
sample_coordinates,925.25,780.81
sample_coordinates,1162.21,649.60
sample_coordinates,1570.81,485.89
sample_coordinates,1790.79,418.40
sample_coordinates,1947.49,397.60
sample_coordinates,2117.84,359.26
sample_coordinates,2237.47,297.73
sample_coordinates,2216.61,289.47
thrombus_coordinates,1826.55,1585.51
thrombus_coordinates,1972.56,1502.18
thrombus_coordinates,2093.87,1456.69
thrombus_coordinates,2241.65,1423.18
thrombus_coordinates,2382.05,1420.00
thrombus_coordinates,2496.86,1454.66
thrombus_coordinates,2613.58,1502.47
thrombus_coordinates,2685.06,1649.76
thrombus_coordinates,2721.88,1771.07
thrombus_coordinates,2729.40,1964.83
thrombus_coordinates,2727.23,2081.80
thrombus_coordinates,2705.57,2235.59
thrombus_coordinates,2651.42,2369.89
thrombus_coordinates,2551.78,2469.53
thrombus_coordinates,2436.98,2538.85
thrombus_coordinates,2339.50,2631.99
thrombus_coordinates,2283.19,2731.63
thrombus_coordinates,2278.85,2735.96
thrombus_coordinates,2259.36,2863.76
thrombus_coordinates,2358.04,2993.75
thrombus_coordinates,2436.02,3078.23
thrombus_coordinates,2544.32,3123.72
thrombus_coordinates,2659.12,3130.21
thrombus_coordinates,2730.61,3227.69
thrombus_coordinates,2784.76,3331.66
thrombus_coordinates,2795.59,3463.79
thrombus_coordinates,2715.44,3554.76
thrombus_coordinates,2635.30,3647.91
thrombus_coordinates,2533.49,3749.71
thrombus_coordinates,2425.19,3801.70
thrombus_coordinates,2286.56,3868.85
thrombus_coordinates,2151.38,3881.84
thrombus_coordinates,2022.69,3855.85
thrombus_coordinates,1903.56,3816.86
thrombus_coordinates,1806.08,3723.72
thrombus_coordinates,1728.10,3602.42
thrombus_coordinates,1632.80,3489.78
thrombus_coordinates,1561.32,3359.82
thrombus_coordinates,1530.99,3232.02
thrombus_coordinates,1524.49,3078.62
thrombus_coordinates,1479.00,2968.15
thrombus_coordinates,1498.50,2833.85
thrombus_coordinates,1604.64,2742.88
thrombus_coordinates,1741.10,2690.89
thrombus_coordinates,1866.74,2630.24
thrombus_coordinates,1964.21,2565.26
thrombus_coordinates,2040.02,2454.79
thrombus_coordinates,2055.18,2335.65
thrombus_coordinates,1936.05,2236.01
thrombus_coordinates,1784.72,2232.83
thrombus_coordinates,1661.25,2302.14
thrombus_coordinates,1543.40,2372.48
thrombus_coordinates,1419.93,2389.80
thrombus_coordinates,1300.80,2311.83
thrombus_coordinates,1255.31,2184.03
thrombus_coordinates,1240.28,2005.03
thrombus_coordinates,1292.26,1885.90
thrombus_coordinates,1385.41,1768.93
thrombus_coordinates,1491.54,1688.78
thrombus_coordinates,1599.85,1654.12
thrombus_coordinates,1701.66,1608.64
thrombus_coordinates,1821.68,1590.29
thrombus_coordinates,1826.55,1585.51
