#Selection names:,sample_coordinates
#Areas (µm^2): 47227384.67
Selection,X,Y
sample_coordinates,3677.64,128.09
sample_coordinates,3851.93,126.50
sample_coordinates,4055.49,228.28
sample_coordinates,4265.84,377.56
sample_coordinates,4421.90,513.26
sample_coordinates,4550.82,652.36
sample_coordinates,4666.17,811.82
sample_coordinates,4815.45,940.74
sample_coordinates,4940.98,1062.87
sample_coordinates,5130.97,1205.36
sample_coordinates,5266.67,1358.03
sample_coordinates,5371.85,1517.49
sample_coordinates,5500.77,1632.84
sample_coordinates,5646.65,1734.62
sample_coordinates,5797.32,1880.30
sample_coordinates,5919.45,2019.39
sample_coordinates,6099.06,2217.56
sample_coordinates,6283.23,2470.32
sample_coordinates,6562.41,2653.60
sample_coordinates,6722.99,2931.43
sample_coordinates,6949.26,3501.17
sample_coordinates,7023.93,3686.49
sample_coordinates,7070.54,3909.98
sample_coordinates,6952.85,4306.30
sample_coordinates,6822.45,4545.61
sample_coordinates,6716.30,4774.46
sample_coordinates,6577.41,4992.98
sample_coordinates,6442.11,5259.77
sample_coordinates,6361.10,5433.57
sample_coordinates,6253.15,5662.42
sample_coordinates,6013.13,6255.24
sample_coordinates,5814.35,6578.76
sample_coordinates,5595.37,6766.97
sample_coordinates,5273.15,7139.09
sample_coordinates,4727.21,7333.49
sample_coordinates,4339.37,7407.96
sample_coordinates,4134.89,7486.97
sample_coordinates,3736.29,7528.91
sample_coordinates,3336.95,7582.17
sample_coordinates,3099.31,7620.88
sample_coordinates,2650.79,7577.80
sample_coordinates,2358.87,7574.41
sample_coordinates,2028.94,7569.42
sample_coordinates,1675.10,7516.67
sample_coordinates,1343.43,7440.71
sample_coordinates,1038.47,7303.93
sample_coordinates,290.14,6709.13
sample_coordinates,-323.18,5955.76
sample_coordinates,-529.14,5445.24
sample_coordinates,-983.26,3743.81
sample_coordinates,-1267.05,2536.24
sample_coordinates,-1313.34,2024.41
sample_coordinates,-1056.62,1576.71
sample_coordinates,-809.53,1276.22
sample_coordinates,-435.47,1048.11
sample_coordinates,295.08,706.71
sample_coordinates,707.34,522.40
sample_coordinates,1337.41,394.34
sample_coordinates,1852.71,315.17
sample_coordinates,2226.55,235.65
sample_coordinates,2541.80,170.49
sample_coordinates,2770.38,133.84
sample_coordinates,3004.63,120.27
sample_coordinates,3293.66,162.37
sample_coordinates,3484.15,67.37
sample_coordinates,3678.91,158.97
sample_coordinates,3677.64,128.09
